
-----------
sample-job/
-----------

65 tests found in 5 runs.

  test_delete_all_contacts()                                            :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_sms_notification()                                               :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_gallery_crop_photo()                                             :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_dialer_find_contact()                                            :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_add_contact_to_favorite()                                        :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_export_contacts_to_sdcard()                                      :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_gallery_open_valid_image_file_animated_gif()                     :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_redial_last_number()                                             :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_video_capture_prompt()                                           :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_gallery_delete_image()                                           :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_gallery_open_valid_image_file_load_transparent_background_png()  :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_radio_airplane_mode()                                            :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_sms_notification_removed_when_sms_deleted()                      :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_lock_screen_notification()                                       :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_launch_rocketbar_search()                                        :    5 runs,    0 skips,    4 passes,    0 failures,    0 xfails,    0 upasses,    1 errors,    0 spurious, (20% failed)
